Timestamp,Open,High,Low,Close,Volume,symbol,Date
1609113600.0,66.98,71.26,66.12,69.15,7916.69430973,ZEC/USDC,2020-12-28
1609200000.0,69.16,70.42,61.5,65.54,8728.93128813,ZEC/USDC,2020-12-29
1609286400.0,65.55,66.22,62.93,63.94,5138.16981695,ZEC/USDC,2020-12-30
1609372800.0,63.92,64.48,61.28,63.89,3432.37796905,ZEC/USDC,2020-12-31
1609459200.0,63.6,67.34,55.15,56.97,25040.28935493,ZEC/USDC,2021-01-01
1609545600.0,56.97,60.03,55.47,57.57,24856.63228874,ZEC/USDC,2021-01-02
1609632000.0,57.58,61.87,56.29,59.47,17161.36963407,ZEC/USDC,2021-01-03
1609718400.0,59.62,65.22,56.88,60.41,14696.24259671,ZEC/USDC,2021-01-04
1609804800.0,60.43,61.19,57.99,60.0,8481.26178533,ZEC/USDC,2021-01-05
1609891200.0,60.01,65.46,59.11,64.23,21515.37144962,ZEC/USDC,2021-01-06
1609977600.0,64.23,74.42,63.2,68.04,36053.12341762,ZEC/USDC,2021-01-07
1610064000.0,68.04,70.09,61.18,68.78,21092.42310526,ZEC/USDC,2021-01-08
1610150400.0,68.81,80.51,65.86,79.01,17880.93589304,ZEC/USDC,2021-01-09
1610236800.0,79.45,98.77,76.08,96.78,58970.21024315,ZEC/USDC,2021-01-10
1610323200.0,96.48,108.96,77.35,87.87,57741.5246738,ZEC/USDC,2021-01-11
1610409600.0,88.12,105.4,84.46,99.62,34927.84496949,ZEC/USDC,2021-01-12
1610496000.0,99.61,120.2,92.48,117.59,30966.44049571,ZEC/USDC,2021-01-13
1610582400.0,117.68,118.84,105.59,111.2,14644.08880856,ZEC/USDC,2021-01-14
1610668800.0,110.83,114.77,94.96,103.55,9171.54568271,ZEC/USDC,2021-01-15
1610755200.0,103.56,113.98,102.0,107.89,8012.09868075,ZEC/USDC,2021-01-16
1610841600.0,107.93,112.83,98.54,102.15,11174.71478621,ZEC/USDC,2021-01-17
1610928000.0,102.37,106.24,100.33,104.15,4902.16401423,ZEC/USDC,2021-01-18
1611014400.0,104.15,112.64,102.35,102.35,6740.51353596,ZEC/USDC,2021-01-19
1611100800.0,102.18,103.84,90.75,99.18,10176.6057112,ZEC/USDC,2021-01-20
1611187200.0,99.18,99.59,82.48,82.91,8922.73378273,ZEC/USDC,2021-01-21
1611273600.0,83.01,91.66,76.25,86.41,18584.0964296,ZEC/USDC,2021-01-22
1611360000.0,86.67,90.57,84.0,85.98,10077.14978234,ZEC/USDC,2021-01-23
1611446400.0,85.98,92.24,84.98,90.06,9248.11281902,ZEC/USDC,2021-01-24
1611532800.0,90.11,96.46,87.75,87.75,17931.73789708,ZEC/USDC,2021-01-25
1611619200.0,87.59,90.26,83.86,88.96,10999.59208004,ZEC/USDC,2021-01-26
1611705600.0,88.7,88.71,77.01,78.39,11454.56871147,ZEC/USDC,2021-01-27
1611792000.0,78.4,88.69,77.18,87.31,9349.4613574,ZEC/USDC,2021-01-28
1611878400.0,87.65,90.52,82.5,85.51,13695.61109331,ZEC/USDC,2021-01-29
1611964800.0,85.44,86.77,82.87,84.03,9249.33163269,ZEC/USDC,2021-01-30
1612051200.0,83.92,87.52,82.5,85.71,5240.95084863,ZEC/USDC,2021-01-31
1612137600.0,85.7,89.62,84.15,88.66,6631.57385079,ZEC/USDC,2021-02-01
1612224000.0,88.87,94.33,88.36,92.54,9297.98194565,ZEC/USDC,2021-02-02
1612310400.0,92.62,96.99,92.62,95.45,6422.22924737,ZEC/USDC,2021-02-03
1612396800.0,95.58,96.75,88.87,90.23,8707.55038006,ZEC/USDC,2021-02-04
1612483200.0,90.31,96.76,89.34,96.55,10830.07248939,ZEC/USDC,2021-02-05
1612569600.0,96.67,98.94,92.07,94.14,11683.17995663,ZEC/USDC,2021-02-06
1612656000.0,94.02,95.75,88.8,92.18,11135.33330424,ZEC/USDC,2021-02-07
1612742400.0,92.35,98.35,91.16,98.3,9642.32202508,ZEC/USDC,2021-02-08
1612828800.0,98.29,110.24,97.35,108.79,18273.22924082,ZEC/USDC,2021-02-09
1612915200.0,109.1,121.07,106.51,116.98,18140.78636175,ZEC/USDC,2021-02-10
1613001600.0,116.92,149.98,113.36,142.51,23160.32757492,ZEC/USDC,2021-02-11
1613088000.0,142.6,149.47,132.92,143.34,17013.92725527,ZEC/USDC,2021-02-12
1613174400.0,143.6,218.4,143.22,176.62,61626.08232063,ZEC/USDC,2021-02-13
1613260800.0,176.88,180.17,153.24,156.25,21354.28556299,ZEC/USDC,2021-02-14
1613347200.0,156.75,179.35,124.12,159.13,31424.55638774,ZEC/USDC,2021-02-15
1613433600.0,159.13,167.99,148.88,155.84,13809.21790386,ZEC/USDC,2021-02-16
1613520000.0,155.97,173.2,147.14,169.13,14003.24578921,ZEC/USDC,2021-02-17
1613606400.0,169.54,179.55,157.5,169.28,12420.36606142,ZEC/USDC,2021-02-18
1613692800.0,170.01,189.78,162.08,180.84,36697.22712671,ZEC/USDC,2021-02-19
