Timestamp,Open,High,Low,Close,Volume,symbol,Date
1633564800.0,1.99,2.2,1.55,1.7,196856.47,WCFG/USDT,2021-10-07
1633651200.0,1.71,1.72,1.47,1.64,106347.32,WCFG/USDT,2021-10-08
1633737600.0,1.64,1.85,1.64,1.72,87838.38,WCFG/USDT,2021-10-09
1633824000.0,1.72,1.74,1.5,1.51,44299.63,WCFG/USDT,2021-10-10
1633910400.0,1.5,1.82,1.48,1.58,63944.97,WCFG/USDT,2021-10-11
1633996800.0,1.61,1.7,1.53,1.53,29285.14,WCFG/USDT,2021-10-12
1634083200.0,1.58,1.84,1.51,1.8,40404.86,WCFG/USDT,2021-10-13
1634169600.0,1.79,2.6,1.71,2.12,317556.38,WCFG/USDT,2021-10-14
1634256000.0,2.11,2.13,1.8,1.9,36924.9,WCFG/USDT,2021-10-15
1634342400.0,1.9,2.09,1.88,1.95,21743.43,WCFG/USDT,2021-10-16
1634428800.0,1.95,2.11,1.9,1.94,35808.68,WCFG/USDT,2021-10-17
1634515200.0,1.94,2.01,1.85,1.85,9604.52,WCFG/USDT,2021-10-18
1634601600.0,1.88,2.21,1.87,1.95,17076.63,WCFG/USDT,2021-10-19
1634688000.0,1.96,2.09,1.95,2.08,12674.58,WCFG/USDT,2021-10-20
1634774400.0,2.06,2.07,1.9,1.91,30805.04,WCFG/USDT,2021-10-21
1634860800.0,1.91,1.93,1.84,1.87,12031.34,WCFG/USDT,2021-10-22
1634947200.0,1.86,1.86,1.85,1.86,452.48,WCFG/USDT,2021-10-23
