Timestamp,Open,High,Low,Close,Volume,symbol,Date
1618876800.0,2.5e-05,2.51e-05,2.44e-05,2.48e-05,23464.05,MANA/BTC,2021-04-20
1618963200.0,2.51e-05,2.65e-05,2.4e-05,2.48e-05,1185372.33,MANA/BTC,2021-04-21
1619049600.0,2.48e-05,2.57e-05,2.32e-05,2.4e-05,1470359.33,MANA/BTC,2021-04-22
1619136000.0,2.4e-05,2.45e-05,1.98e-05,2.42e-05,2281015.91,MANA/BTC,2021-04-23
1619222400.0,2.42e-05,2.43e-05,2.2e-05,2.21e-05,794825.89,MANA/BTC,2021-04-24
1619308800.0,2.21e-05,2.35e-05,2.17e-05,2.23e-05,973683.17,MANA/BTC,2021-04-25
1619395200.0,2.23e-05,2.35e-05,2.21e-05,2.28e-05,1206449.56,MANA/BTC,2021-04-26
1619481600.0,2.28e-05,2.42e-05,2.25e-05,2.39e-05,697587.87,MANA/BTC,2021-04-27
1619568000.0,2.38e-05,2.84e-05,2.38e-05,2.82e-05,2312789.67,MANA/BTC,2021-04-28
1619654400.0,2.83e-05,2.83e-05,2.6e-05,2.72e-05,1305194.74,MANA/BTC,2021-04-29
1619740800.0,2.72e-05,2.72e-05,2.54e-05,2.57e-05,971176.47,MANA/BTC,2021-04-30
1619827200.0,2.58e-05,2.59e-05,2.46e-05,2.53e-05,654092.81,MANA/BTC,2021-05-01
1619913600.0,2.54e-05,2.54e-05,2.45e-05,2.48e-05,453795.45,MANA/BTC,2021-05-02
1620000000.0,2.48e-05,2.52e-05,2.42e-05,2.45e-05,837917.57,MANA/BTC,2021-05-03
1620086400.0,2.45e-05,2.45e-05,2.31e-05,2.38e-05,1930318.68,MANA/BTC,2021-05-04
1620172800.0,2.38e-05,2.49e-05,2.35e-05,2.46e-05,1471422.57,MANA/BTC,2021-05-05
1620259200.0,2.46e-05,2.78e-05,2.41e-05,2.78e-05,1470793.93,MANA/BTC,2021-05-06
1620345600.0,2.77e-05,2.79e-05,2.52e-05,2.56e-05,1640264.96,MANA/BTC,2021-05-07
1620432000.0,2.56e-05,2.62e-05,2.42e-05,2.45e-05,1501330.19,MANA/BTC,2021-05-08
1620518400.0,2.45e-05,2.62e-05,2.35e-05,2.55e-05,1751468.14,MANA/BTC,2021-05-09
1620604800.0,2.56e-05,2.58e-05,2.28e-05,2.37e-05,1711847.78,MANA/BTC,2021-05-10
1620691200.0,2.38e-05,2.54e-05,2.35e-05,2.51e-05,1009260.48,MANA/BTC,2021-05-11
1620777600.0,2.51e-05,2.57e-05,2.43e-05,2.49e-05,933746.91,MANA/BTC,2021-05-12
1620864000.0,2.48e-05,2.58e-05,2.42e-05,2.53e-05,1320853.92,MANA/BTC,2021-05-13
1620950400.0,2.52e-05,2.62e-05,2.51e-05,2.6e-05,804356.93,MANA/BTC,2021-05-14
1621036800.0,2.59e-05,2.62e-05,2.52e-05,2.57e-05,1262030.76,MANA/BTC,2021-05-15
1621123200.0,2.58e-05,2.61e-05,2.49e-05,2.54e-05,1035431.77,MANA/BTC,2021-05-16
1621209600.0,2.54e-05,2.56e-05,2.4e-05,2.44e-05,1710364.81,MANA/BTC,2021-05-17
1621296000.0,2.43e-05,2.79e-05,2.41e-05,2.62e-05,1419705.34,MANA/BTC,2021-05-18
1621382400.0,2.62e-05,2.69e-05,1.57e-05,2.11e-05,5894595.71,MANA/BTC,2021-05-19
1621468800.0,2.13e-05,2.41e-05,1.95e-05,2.36e-05,2796484.65,MANA/BTC,2021-05-20
1621555200.0,2.35e-05,2.41e-05,2.07e-05,2.2e-05,1411449.15,MANA/BTC,2021-05-21
1621641600.0,2.2e-05,2.2e-05,1.95e-05,2.03e-05,528704.14,MANA/BTC,2021-05-22
1621728000.0,2.02e-05,2.15e-05,1.57e-05,1.79e-05,1140592.48,MANA/BTC,2021-05-23
1621814400.0,1.78e-05,2.09e-05,1.69e-05,2e-05,1304314.53,MANA/BTC,2021-05-24
1621900800.0,2.01e-05,2.14e-05,1.94e-05,2.05e-05,864943.18,MANA/BTC,2021-05-25
1621987200.0,2.06e-05,2.58e-05,2.01e-05,2.57e-05,1504091.17,MANA/BTC,2021-05-26
1622073600.0,2.57e-05,2.59e-05,2.28e-05,2.33e-05,776279.65,MANA/BTC,2021-05-27
1622160000.0,2.33e-05,2.46e-05,2.2e-05,2.27e-05,563697.45,MANA/BTC,2021-05-28
1622246400.0,2.27e-05,2.32e-05,2.05e-05,2.15e-05,578448.25,MANA/BTC,2021-05-29
1622332800.0,2.14e-05,2.3e-05,2.06e-05,2.19e-05,364275.05,MANA/BTC,2021-05-30
1622419200.0,2.19e-05,2.3e-05,2.14e-05,2.27e-05,314028.77,MANA/BTC,2021-05-31
1622505600.0,2.28e-05,2.31e-05,2.21e-05,2.25e-05,276689.48,MANA/BTC,2021-06-01
1622592000.0,2.27e-05,2.32e-05,2.24e-05,2.29e-05,316866.58,MANA/BTC,2021-06-02
1622678400.0,2.28e-05,2.31e-05,2.22e-05,2.25e-05,252436.91,MANA/BTC,2021-06-03
1622764800.0,2.25e-05,2.31e-05,2.13e-05,2.22e-05,399195.85,MANA/BTC,2021-06-04
1622851200.0,2.21e-05,2.35e-05,2.2e-05,2.28e-05,328547.93,MANA/BTC,2021-06-05
1622937600.0,2.28e-05,2.3e-05,2.25e-05,2.28e-05,251712.32,MANA/BTC,2021-06-06
1623024000.0,2.28e-05,2.29e-05,2.19e-05,2.2e-05,237332.16,MANA/BTC,2021-06-07
1623110400.0,2.21e-05,2.23e-05,2.02e-05,2.12e-05,474442.34,MANA/BTC,2021-06-08
1623196800.0,2.13e-05,2.14e-05,1.95e-05,1.97e-05,339407.62,MANA/BTC,2021-06-09
1623283200.0,1.96e-05,1.99e-05,1.87e-05,1.9e-05,350196.04,MANA/BTC,2021-06-10
1623369600.0,1.9e-05,2.12e-05,1.83e-05,1.85e-05,953451.55,MANA/BTC,2021-06-11
1623456000.0,1.85e-05,1.9e-05,1.77e-05,1.85e-05,406987.65,MANA/BTC,2021-06-12
1623542400.0,1.85e-05,1.88e-05,1.75e-05,1.78e-05,350150.05,MANA/BTC,2021-06-13
1623628800.0,1.77e-05,1.78e-05,1.72e-05,1.76e-05,372649.18,MANA/BTC,2021-06-14
1623715200.0,1.75e-05,1.8e-05,1.73e-05,1.76e-05,345056.69,MANA/BTC,2021-06-15
1623801600.0,1.77e-05,1.89e-05,1.75e-05,1.84e-05,877642.72,MANA/BTC,2021-06-16
1623888000.0,1.83e-05,1.87e-05,1.77e-05,1.81e-05,715054.02,MANA/BTC,2021-06-17
1623974400.0,1.81e-05,1.82e-05,1.73e-05,1.81e-05,693418.66,MANA/BTC,2021-06-18
1624060800.0,1.82e-05,1.83e-05,1.77e-05,1.77e-05,457461.54,MANA/BTC,2021-06-19
1624147200.0,1.77e-05,1.78e-05,1.72e-05,1.75e-05,557919.08,MANA/BTC,2021-06-20
1624233600.0,1.75e-05,1.75e-05,1.46e-05,1.47e-05,1071034.36,MANA/BTC,2021-06-21
1624320000.0,1.47e-05,1.54e-05,1.28e-05,1.34e-05,1552717.66,MANA/BTC,2021-06-22
1624406400.0,1.34e-05,1.51e-05,1.31e-05,1.49e-05,880014.55,MANA/BTC,2021-06-23
1624492800.0,1.49e-05,1.58e-05,1.44e-05,1.52e-05,924648.82,MANA/BTC,2021-06-24
1624579200.0,1.53e-05,1.55e-05,1.45e-05,1.49e-05,863661.2,MANA/BTC,2021-06-25
1624665600.0,1.5e-05,1.51e-05,1.43e-05,1.46e-05,609702.66,MANA/BTC,2021-06-26
1624752000.0,1.45e-05,1.47e-05,1.39e-05,1.42e-05,456638.95,MANA/BTC,2021-06-27
1624838400.0,1.42e-05,1.49e-05,1.4e-05,1.48e-05,595497.6,MANA/BTC,2021-06-28
1624924800.0,1.47e-05,1.57e-05,1.47e-05,1.54e-05,858909.69,MANA/BTC,2021-06-29
1625011200.0,1.53e-05,1.66e-05,1.48e-05,1.66e-05,838543.19,MANA/BTC,2021-06-30
1625097600.0,1.64e-05,1.71e-05,1.58e-05,1.64e-05,392213.24,MANA/BTC,2021-07-01
1625184000.0,1.64e-05,1.65e-05,1.55e-05,1.6e-05,227528.1,MANA/BTC,2021-07-02
1625270400.0,1.59e-05,1.65e-05,1.57e-05,1.62e-05,151057.74,MANA/BTC,2021-07-03
1625356800.0,1.62e-05,1.69e-05,1.57e-05,1.64e-05,265649.02,MANA/BTC,2021-07-04
1625443200.0,1.64e-05,1.66e-05,1.57e-05,1.63e-05,264261.75,MANA/BTC,2021-07-05
1625529600.0,1.63e-05,1.83e-05,1.62e-05,1.8e-05,662097.3,MANA/BTC,2021-07-06
1625616000.0,1.79e-05,2.28e-05,1.78e-05,2.13e-05,2479424.26,MANA/BTC,2021-07-07
1625702400.0,2.14e-05,2.54e-05,1.91e-05,1.95e-05,1827565.58,MANA/BTC,2021-07-08
1625788800.0,1.96e-05,2.13e-05,1.84e-05,2.06e-05,1178815.89,MANA/BTC,2021-07-09
1625875200.0,2.05e-05,2.33e-05,2.02e-05,2.24e-05,1723022.33,MANA/BTC,2021-07-10
1625961600.0,2.25e-05,2.33e-05,2.14e-05,2.17e-05,587763.57,MANA/BTC,2021-07-11
1626048000.0,2.16e-05,2.16e-05,2e-05,2.05e-05,574208.2,MANA/BTC,2021-07-12
1626134400.0,2.04e-05,2.14e-05,1.95e-05,1.98e-05,812394.05,MANA/BTC,2021-07-13
1626220800.0,1.99e-05,2.26e-05,1.85e-05,2.18e-05,1168238.04,MANA/BTC,2021-07-14
1626307200.0,2.17e-05,2.32e-05,2.05e-05,2.08e-05,1120443.43,MANA/BTC,2021-07-15
1626393600.0,2.08e-05,2.14e-05,1.92e-05,1.93e-05,479494.03,MANA/BTC,2021-07-16
1626480000.0,1.92e-05,1.96e-05,1.88e-05,1.92e-05,366653.64,MANA/BTC,2021-07-17
1626566400.0,1.92e-05,2.02e-05,1.92e-05,1.92e-05,367949.49,MANA/BTC,2021-07-18
1626652800.0,1.92e-05,1.93e-05,1.81e-05,1.81e-05,372237.14,MANA/BTC,2021-07-19
1626739200.0,1.81e-05,1.82e-05,1.67e-05,1.73e-05,552424.89,MANA/BTC,2021-07-20
1626825600.0,1.73e-05,1.84e-05,1.7e-05,1.8e-05,411585.94,MANA/BTC,2021-07-21
1626912000.0,1.81e-05,1.87e-05,1.79e-05,1.83e-05,371387.18,MANA/BTC,2021-07-22
1626998400.0,1.83e-05,2.08e-05,1.81e-05,2e-05,784124.63,MANA/BTC,2021-07-23
1627084800.0,1.99e-05,2.22e-05,1.98e-05,2.08e-05,651956.68,MANA/BTC,2021-07-24
1627171200.0,2.09e-05,2.13e-05,1.99e-05,2e-05,388219.84,MANA/BTC,2021-07-25
1627257600.0,2e-05,2.04e-05,1.8e-05,1.85e-05,961161.85,MANA/BTC,2021-07-26
1627344000.0,1.85e-05,1.96e-05,1.75e-05,1.78e-05,378403.0,MANA/BTC,2021-07-27
1627430400.0,1.76e-05,1.82e-05,1.68e-05,1.71e-05,443485.75,MANA/BTC,2021-07-28
1627516800.0,1.71e-05,1.79e-05,1.69e-05,1.77e-05,486794.31,MANA/BTC,2021-07-29
1627603200.0,1.77e-05,1.8e-05,1.69e-05,1.7e-05,253468.7,MANA/BTC,2021-07-30
1627689600.0,1.7e-05,1.75e-05,1.67e-05,1.72e-05,221036.7,MANA/BTC,2021-07-31
1627776000.0,1.73e-05,1.78e-05,1.69e-05,1.71e-05,241436.78,MANA/BTC,2021-08-01
1627862400.0,1.72e-05,1.78e-05,1.71e-05,1.77e-05,253328.65,MANA/BTC,2021-08-02
1627948800.0,1.77e-05,1.82e-05,1.74e-05,1.82e-05,272982.66,MANA/BTC,2021-08-03
1628035200.0,1.81e-05,1.86e-05,1.79e-05,1.83e-05,272118.48,MANA/BTC,2021-08-04
1628121600.0,1.84e-05,1.88e-05,1.77e-05,1.81e-05,920231.15,MANA/BTC,2021-08-05
1628208000.0,1.8e-05,1.81e-05,1.7e-05,1.75e-05,370396.81,MANA/BTC,2021-08-06
1628294400.0,1.74e-05,1.78e-05,1.71e-05,1.73e-05,251087.5,MANA/BTC,2021-08-07
1628380800.0,1.73e-05,1.74e-05,1.62e-05,1.64e-05,371423.96,MANA/BTC,2021-08-08
1628467200.0,1.64e-05,1.71e-05,1.6e-05,1.62e-05,447030.29,MANA/BTC,2021-08-09
1628553600.0,1.63e-05,1.88e-05,1.61e-05,1.81e-05,604272.85,MANA/BTC,2021-08-10
1628640000.0,1.8e-05,1.9e-05,1.77e-05,1.8e-05,459479.95,MANA/BTC,2021-08-11
1628726400.0,1.8e-05,1.84e-05,1.73e-05,1.8e-05,261836.79,MANA/BTC,2021-08-12
1628812800.0,1.81e-05,1.82e-05,1.73e-05,1.77e-05,174802.32,MANA/BTC,2021-08-13
1628899200.0,1.76e-05,1.79e-05,1.73e-05,1.78e-05,494324.42,MANA/BTC,2021-08-14
1628985600.0,1.78e-05,1.85e-05,1.75e-05,1.84e-05,161126.56,MANA/BTC,2021-08-15
1629072000.0,1.85e-05,1.93e-05,1.79e-05,1.85e-05,329755.26,MANA/BTC,2021-08-16
1629158400.0,1.85e-05,1.87e-05,1.78e-05,1.78e-05,213662.09,MANA/BTC,2021-08-17
1629244800.0,1.79e-05,1.8e-05,1.69e-05,1.74e-05,249391.26,MANA/BTC,2021-08-18
1629331200.0,1.73e-05,1.76e-05,1.7e-05,1.75e-05,139948.44,MANA/BTC,2021-08-19
1629417600.0,1.75e-05,1.76e-05,1.68e-05,1.71e-05,183188.78,MANA/BTC,2021-08-20
1629504000.0,1.71e-05,1.94e-05,1.7e-05,1.79e-05,656056.23,MANA/BTC,2021-08-21
1629590400.0,1.79e-05,1.89e-05,1.75e-05,1.79e-05,380204.15,MANA/BTC,2021-08-22
