Timestamp,Open,High,Low,Close,Volume,symbol,Date
1616025600.0,1.2045,1.2045,0.88,0.883,3696483.77,ADA/GBP,2021-03-18
1616112000.0,0.882,1.009,0.8484,0.9439,6280279.9,ADA/GBP,2021-03-19
1616198400.0,0.9408,0.9741,0.8666,0.8682,5495487.67,ADA/GBP,2021-03-20
1616284800.0,0.8668,0.8959,0.8386,0.8585,2194020.33,ADA/GBP,2021-03-21
1616371200.0,0.8594,0.8722,0.7641,0.7965,3504260.59,ADA/GBP,2021-03-22
1616457600.0,0.7981,0.8533,0.7832,0.8134,3606176.61,ADA/GBP,2021-03-23
1616544000.0,0.8111,0.8503,0.7607,0.7834,2817115.98,ADA/GBP,2021-03-24
1616630400.0,0.7809,0.8447,0.7678,0.8,4180681.49,ADA/GBP,2021-03-25
1616716800.0,0.799,0.935,0.7987,0.8819,3018648.08,ADA/GBP,2021-03-26
1616803200.0,0.8819,0.8998,0.8402,0.8526,1851459.69,ADA/GBP,2021-03-27
1616889600.0,0.8528,0.8845,0.8469,0.8646,1331839.37,ADA/GBP,2021-03-28
1616976000.0,0.8644,0.8889,0.8572,0.8734,1861763.2,ADA/GBP,2021-03-29
1617062400.0,0.8733,0.8988,0.8639,0.8837,1604149.75,ADA/GBP,2021-03-30
1617148800.0,0.883,0.8846,0.84,0.8661,1800874.71,ADA/GBP,2021-03-31
1617235200.0,0.8661,0.8779,0.8492,0.8569,1687905.29,ADA/GBP,2021-04-01
1617321600.0,0.8577,0.898,0.8544,0.8607,1974531.39,ADA/GBP,2021-04-02
1617408000.0,0.8607,0.897,0.8442,0.8458,2294115.75,ADA/GBP,2021-04-03
1617494400.0,0.8455,0.8675,0.8367,0.8576,1322408.51,ADA/GBP,2021-04-04
1617580800.0,0.858,0.88,0.842,0.8722,1963265.82,ADA/GBP,2021-04-05
1617667200.0,0.8729,0.9686,0.8615,0.9087,5005593.95,ADA/GBP,2021-04-06
1617753600.0,0.9139,0.935,0.842,0.8564,2754756.99,ADA/GBP,2021-04-07
1617840000.0,0.8574,0.89,0.8545,0.8878,1518040.53,ADA/GBP,2021-04-08
1617926400.0,0.8855,0.8925,0.869,0.8787,1281942.96,ADA/GBP,2021-04-09
1618012800.0,0.8784,0.9009,0.872,0.8891,2478737.01,ADA/GBP,2021-04-10
1618099200.0,0.8902,0.9435,0.875,0.9238,2920768.66,ADA/GBP,2021-04-11
1618185600.0,0.926,0.9849,0.9212,0.9588,3495671.47,ADA/GBP,2021-04-12
1618272000.0,0.9621,1.048,0.935,1.0299,5188572.0,ADA/GBP,2021-04-13
1618358400.0,1.031,1.1342,0.9812,1.0569,11828698.61,ADA/GBP,2021-04-14
1618444800.0,1.0586,1.0859,1.0257,1.0747,4048227.2,ADA/GBP,2021-04-15
1618531200.0,1.0776,1.1045,0.975,1.023,5457268.09,ADA/GBP,2021-04-16
1618617600.0,1.0236,1.055,0.9918,1.0073,2737502.22,ADA/GBP,2021-04-17
1618704000.0,1.006,1.0296,0.838,0.9292,10353298.26,ADA/GBP,2021-04-18
1618790400.0,0.9345,0.9629,0.842,0.8569,4041419.21,ADA/GBP,2021-04-19
1618876800.0,0.8592,0.923,0.805,0.9102,3665835.59,ADA/GBP,2021-04-20
1618963200.0,0.9115,0.9253,0.86,0.8652,3458083.05,ADA/GBP,2021-04-21
1619049600.0,0.8657,0.9246,0.81,0.8279,4914477.91,ADA/GBP,2021-04-22
1619136000.0,0.8267,0.8463,0.7144,0.8376,9276906.04,ADA/GBP,2021-04-23
1619222400.0,0.8384,0.8698,0.7923,0.7998,3222711.46,ADA/GBP,2021-04-24
1619308800.0,0.7982,0.8286,0.7359,0.7894,2584591.96,ADA/GBP,2021-04-25
1619395200.0,0.79,0.9041,0.7811,0.8904,2878891.65,ADA/GBP,2021-04-26
1619481600.0,0.8892,0.9616,0.8828,0.9421,3141669.64,ADA/GBP,2021-04-27
1619568000.0,0.9401,0.9722,0.89,0.9608,2764029.6,ADA/GBP,2021-04-28
1619654400.0,0.9625,1.0149,0.9121,0.939,4433865.16,ADA/GBP,2021-04-29
1619740800.0,0.9375,0.9888,0.9242,0.9831,2599150.6,ADA/GBP,2021-04-30
1619827200.0,0.9817,0.992,0.9558,0.9792,2530709.05,ADA/GBP,2021-05-01
1619913600.0,0.9804,0.9828,0.94,0.962,4104293.71,ADA/GBP,2021-05-02
