Timestamp,Open,High,Low,Close,Volume,symbol,Date
1620259200.0,1.03,1.09,0.8017,0.8148,17000104.1,CTSI/USD,2021-05-06
1620345600.0,0.8139,1.075,0.7449,0.9814,63553372.2,CTSI/USD,2021-05-07
1620432000.0,0.9815,1.8,0.9,1.7807,182698442.2,CTSI/USD,2021-05-08
1620518400.0,1.7859,1.7949,1.168,1.4562,96095761.5,CTSI/USD,2021-05-09
1620604800.0,1.4562,1.55,1.02,1.1391,54611249.4,CTSI/USD,2021-05-10
1620691200.0,1.1374,1.2348,1.0801,1.1352,25704588.8,CTSI/USD,2021-05-11
1620777600.0,1.1322,1.1735,0.8781,0.9015,20325533.7,CTSI/USD,2021-05-12
1620864000.0,0.9015,1.033,0.8182,0.8783,22487927.5,CTSI/USD,2021-05-13
1620950400.0,0.8783,1.3951,0.8756,1.1253,65391821.7,CTSI/USD,2021-05-14
1621036800.0,1.1257,1.22,1.0136,1.0136,21273184.6,CTSI/USD,2021-05-15
1621123200.0,1.0139,1.2,0.9613,1.1428,28622941.7,CTSI/USD,2021-05-16
1621209600.0,1.1445,1.3,1.0,1.1117,43506722.1,CTSI/USD,2021-05-17
1621296000.0,1.1117,1.2167,1.0594,1.0943,20526746.6,CTSI/USD,2021-05-18
1621382400.0,1.0943,1.125,0.5529,0.7072,35198918.4,CTSI/USD,2021-05-19
1621468800.0,0.7094,1.0348,0.6212,0.933,30598811.0,CTSI/USD,2021-05-20
1621555200.0,0.9331,0.95,0.6752,0.7874,22940120.3,CTSI/USD,2021-05-21
1621641600.0,0.7838,0.7874,0.6692,0.6966,9875103.9,CTSI/USD,2021-05-22
1621728000.0,0.697,0.7376,0.4403,0.5618,19327508.4,CTSI/USD,2021-05-23
1621814400.0,0.5602,0.7664,0.5398,0.7357,16991283.5,CTSI/USD,2021-05-24
1621900800.0,0.7384,0.7596,0.6291,0.6993,11327300.6,CTSI/USD,2021-05-25
1621987200.0,0.6986,0.9321,0.6788,0.8672,22035063.2,CTSI/USD,2021-05-26
1622073600.0,0.8664,0.868,0.7432,0.7784,11791501.9,CTSI/USD,2021-05-27
1622160000.0,0.779,0.8062,0.6477,0.6859,11132910.9,CTSI/USD,2021-05-28
1622246400.0,0.6859,0.727,0.5723,0.6142,7385109.9,CTSI/USD,2021-05-29
1622332800.0,0.6153,0.6757,0.5745,0.6402,7234109.9,CTSI/USD,2021-05-30
1622419200.0,0.6396,0.7291,0.6085,0.7168,8423717.6,CTSI/USD,2021-05-31
1622505600.0,0.7162,0.7549,0.6674,0.6832,9402518.2,CTSI/USD,2021-06-01
1622592000.0,0.6841,0.7698,0.6593,0.7127,13421776.2,CTSI/USD,2021-06-02
1622678400.0,0.7116,0.8683,0.6973,0.8118,10702281.2,CTSI/USD,2021-06-03
1622764800.0,0.8107,0.8198,0.6532,0.7089,20495411.5,CTSI/USD,2021-06-04
1622851200.0,0.7089,0.749,0.652,0.6725,9485525.8,CTSI/USD,2021-06-05
1622937600.0,0.6714,0.7088,0.6702,0.6951,3371278.9,CTSI/USD,2021-06-06
1623024000.0,0.6951,0.7238,0.6141,0.6457,8507208.0,CTSI/USD,2021-06-07
1623110400.0,0.6445,0.6511,0.5357,0.6061,13826893.7,CTSI/USD,2021-06-08
1623196800.0,0.6062,0.6253,0.5673,0.6253,6493315.8,CTSI/USD,2021-06-09
1623283200.0,0.6248,0.7747,0.6019,0.64,28710421.1,CTSI/USD,2021-06-10
1623369600.0,0.64,0.6524,0.5704,0.5728,10470166.6,CTSI/USD,2021-06-11
1623456000.0,0.5739,0.585,0.5377,0.5521,10663242.0,CTSI/USD,2021-06-12
1623542400.0,0.5526,0.6272,0.5319,0.5931,7040941.9,CTSI/USD,2021-06-13
1623628800.0,0.5917,0.6132,0.5768,0.5944,5710630.5,CTSI/USD,2021-06-14
